bar,flips,dflips,pass,mismatch,starved
1,1,0,1,0,0
2,17,16,2,0,0
3,33,16,3,0,0
4,49,16,4,0,0
5,65,16,5,0,0
6,81,16,6,0,0
7,97,16,7,0,0
8,113,16,8,0,0
9,129,16,9,0,0
10,161,32,10,0,0
11,205,44,11,0,0
12,254,49,12,0,0
13,296,42,13,0,0
14,332,36,14,0,0
15,363,31,15,0,0
16,398,35,16,0,0
17,441,43,17,0,0
18,478,37,18,0,0
19,516,38,19,0,0
20,555,39,20,0,0
21,580,25,21,0,0
22,604,24,22,0,0
23,621,17,23,0,0
24,657,36,24,0,0
25,707,50,25,0,0
26,753,46,26,0,0
27,809,56,27,0,0
28,877,68,28,0,0
29,948,71,29,0,0
30,1046,98,30,0,0
31,1179,133,31,0,0
32,1353,174,32,0,0
33,1532,179,33,0,0
34,1625,93,34,0,0
35,1688,63,35,0,0
36,1745,57,36,0,0
37,1794,49,37,0,0
38,1848,54,38,0,0
39,1890,42,39,0,0
40,1934,44,40,0,0
41,1965,31,41,0,0
42,1996,31,42,0,0
43,2036,40,43,0,0
44,2068,32,44,0,0
45,2103,35,45,0,0
46,2139,36,46,0,0
47,2170,31,47,0,0
48,2198,28,48,0,0
49,2220,22,49,0,0
50,2250,30,50,0,0
51,2277,27,51,0,0
52,2303,26,52,0,0
53,2332,29,53,0,0
54,2352,20,54,0,0
55,2380,28,55,0,0
56,2409,29,56,0,0
57,2433,24,57,0,0
58,2456,23,58,0,0
59,2491,35,59,0,0
60,2526,35,60,0,0
61,2561,35,61,0,0
62,2592,31,62,0,0
63,2621,29,63,0,0
64,2652,31,64,0,0
65,2671,19,65,0,0
66,2689,18,66,0,0
67,2715,26,67,0,0
68,2742,27,68,0,0
69,2767,25,69,0,0
70,2791,24,70,0,0
71,2823,32,71,0,0
72,2849,26,72,0,0
73,2869,20,73,0,0
74,2890,21,74,0,0
75,2913,23,75,0,0
76,2933,20,76,0,0
77,2953,20,77,0,0
78,2974,21,78,0,0
79,2996,22,79,0,0
80,3020,24,80,0,0
81,3042,22,81,0,0
82,3065,23,82,0,0
83,3088,23,83,0,0
84,3108,20,84,0,0
85,3127,19,85,0,0
86,3149,22,86,0,0
87,3171,22,87,0,0
88,3192,21,88,0,0
89,3215,23,89,0,0
90,3236,21,90,0,0
91,3255,19,91,0,0
92,3275,20,92,0,0
93,3296,21,93,0,0
94,3316,20,94,0,0
95,3335,19,95,0,0
96,3355,20,96,0,0
97,3374,19,97,0,0
98,3390,16,98,0,0
99,3409,19,99,0,0
100,3429,20,100,0,0
101,3450,21,101,0,0
102,3469,19,102,0,0
103,3486,17,103,0,0
104,3503,17,104,0,0
105,3521,18,105,0,0
106,3539,18,106,0,0
107,3559,20,107,0,0
108,3575,16,108,0,0
109,3593,18,109,0,0
110,3612,19,110,0,0
111,3631,19,111,0,0
112,3649,18,111,0,0
113,3667,18,113,0,0
114,3685,18,114,0,0
115,3703,18,115,0,0
116,3722,19,116,0,0
117,3739,17,117,0,0
118,3757,18,118,0,0
119,3774,17,119,0,0
120,3790,16,120,0,0
121,3806,16,121,0,0
122,3822,16,122,0,0
123,3838,16,122,0,0
124,3854,16,123,0,1
125,3872,18,123,0,1
126,3889,17,124,0,2
127,3905,16,125,0,2
128,3922,17,126,0,2
129,3938,16,126,0,2
130,3954,16,127,0,3
131,3970,16,127,0,3
132,3987,17,128,0,3
133,4003,16,128,0,4
134,4019,16,128,0,5
135,4035,16,128,0,6
136,4050,15,129,0,6
137,4065,15,130,0,6
138,4081,16,130,0,7
139,4096,15,130,0,8
140,4109,13,132,0,8
141,4125,16,133,0,8
142,4155,30,134,0,8
143,4170,15,134,0,9
144,4184,14,134,0,10
145,4199,15,134,0,11
146,4213,14,134,0,12
147,4227,14,136,0,12
148,4242,15,137,0,12
149,4257,15,137,0,12
150,4272,15,138,0,12
151,4286,14,138,0,13
152,4300,14,139,0,13
153,4314,14,140,0,14
154,4328,14,140,0,14
155,4342,14,140,0,15
156,4354,12,141,0,15
157,4368,14,141,0,16
158,4382,14,142,0,17
159,4396,14,142,0,17
160,4409,13,143,0,17
161,4423,14,143,0,18
