bar,flips,dflips,pass,mismatch,starved
1,1,0,1,0,0
2,22,21,2,0,0
3,41,19,3,0,0
4,76,35,4,0,0
5,114,38,5,0,0
6,145,31,6,0,0
7,161,16,7,0,0
8,177,16,8,0,0
9,193,16,9,0,0
10,209,16,10,0,0
11,225,16,11,0,0
12,241,16,12,0,0
13,257,16,13,0,0
14,273,16,14,0,0
15,289,16,15,0,0
16,305,16,16,0,0
17,321,16,17,0,0
18,337,16,18,0,0
19,353,16,19,0,0
20,369,16,20,0,0
21,385,16,21,0,0
22,401,16,22,0,0
23,417,16,23,0,0
24,433,16,24,0,0
25,449,16,25,0,0
26,465,16,26,0,0
27,481,16,27,0,0
28,497,16,28,0,0
29,513,16,29,0,0
30,529,16,30,0,0
31,545,16,31,0,0
32,561,16,32,0,0
33,577,16,33,0,0
34,593,16,34,0,0
35,609,16,35,0,0
36,625,16,36,0,0
37,641,16,37,0,0
38,657,16,38,0,0
39,674,17,39,0,0
40,689,15,40,0,0
41,705,16,41,0,0
42,721,16,42,0,0
43,737,16,43,0,0
44,753,16,44,0,0
45,769,16,45,0,0
46,785,16,46,0,0
47,801,16,47,0,0
48,817,16,48,0,0
49,833,16,49,0,0
50,849,16,50,0,0
51,865,16,51,0,0
52,881,16,52,0,0
53,897,16,53,0,0
54,913,16,54,0,0
55,929,16,55,0,0
56,945,16,56,0,0
57,961,16,57,0,0
58,977,16,58,0,0
59,993,16,59,0,0
60,1009,16,60,0,0
61,1025,16,61,0,0
62,1041,16,62,0,0
63,1057,16,63,0,0
64,1073,16,64,0,0
65,1089,16,65,0,0
66,1105,16,66,0,0
67,1121,16,67,0,0
68,1137,16,68,0,0
69,1153,16,69,0,0
70,1169,16,70,0,0
71,1185,16,71,0,0
72,1201,16,72,0,0
73,1217,16,73,0,0
74,1233,16,74,0,0
75,1249,16,75,0,0
76,1265,16,76,0,0
77,1281,16,77,0,0
78,1297,16,78,0,0
79,1313,16,79,0,0
80,1329,16,80,0,0
81,1345,16,81,0,0
82,1361,16,82,0,0
