boot,bar,flips,dflips,cum_fail
2,1,1,0,0
2,2,17,16,0
2,3,33,16,0
2,4,49,16,0
2,5,65,16,0
2,6,81,16,0
2,7,97,16,0
2,8,113,16,0
2,9,129,16,0
2,10,145,16,0
2,11,161,16,0
2,12,177,16,0
2,13,193,16,0
2,14,209,16,0
2,15,225,16,0
2,16,241,16,0
2,17,257,16,0
2,18,273,16,0
2,19,289,16,0
2,20,305,16,0
2,21,321,16,0
2,22,337,16,0
2,23,353,16,0
2,24,369,16,0
2,25,385,16,0
2,26,401,16,0
2,27,417,16,0
2,28,433,16,0
2,29,449,16,0
2,30,465,16,0
2,31,481,16,0
2,32,497,16,0
2,33,513,16,0
2,34,529,16,0
2,35,545,16,0
2,36,561,16,0
2,37,577,16,0
2,38,593,16,0
2,39,609,16,0
2,40,625,16,0
2,41,641,16,0
2,42,657,16,0
2,43,673,16,0
2,44,689,16,0
2,45,705,16,0
2,46,721,16,0
2,47,737,16,0
2,48,753,16,0
2,49,769,16,0
2,50,785,16,0
2,51,801,16,0
2,52,817,16,0
2,53,833,16,0
2,54,849,16,0
2,55,865,16,0
2,56,881,16,0
2,57,897,16,0
2,58,913,16,0
2,59,929,16,0
2,60,945,16,0
2,61,961,16,0
2,62,977,16,0
2,63,993,16,0
2,64,1010,17,0
2,65,1025,15,0
2,66,1041,16,0
2,67,1057,16,0
2,68,1073,16,0
2,69,1090,17,0
2,70,1105,15,0
2,71,1121,16,0
2,72,1137,16,0
2,73,1153,16,0
2,74,1169,16,0
2,75,1185,16,0
2,76,1201,16,0
2,77,1217,16,0
2,78,1233,16,0
2,79,1249,16,0
2,80,1265,16,0
2,81,1281,16,0
2,82,1297,16,0
2,83,1313,16,0
2,84,1329,16,0
2,85,1345,16,0
2,86,1361,16,0
2,87,1377,16,0
2,88,1393,16,0
2,89,1409,16,0
2,90,1425,16,0
2,91,1441,16,0
2,92,1457,16,0
2,93,1473,16,0
2,94,1489,16,0
2,95,1505,16,0
2,96,1521,16,0
2,97,1537,16,0
2,98,1553,16,0
2,99,1569,16,0
2,100,1585,16,0
2,101,1601,16,0
2,102,1617,16,0
2,103,1633,16,0
2,104,1649,16,0
2,105,1665,16,0
2,106,1681,16,0
2,107,1697,16,0
2,108,1713,16,0
2,109,1729,16,0
2,110,1745,16,0
2,111,1761,16,0
2,112,1777,16,0
2,113,1793,16,0
2,114,1809,16,0
2,115,1825,16,0
2,116,1841,16,0
2,117,1857,16,0
2,118,1873,16,0
2,119,1889,16,0
2,120,1905,16,0
2,121,1921,16,0
2,122,1937,16,0
2,123,1953,16,0
2,124,1969,16,0
2,125,1985,16,0
2,126,2001,16,0
2,127,2017,16,0
2,128,2033,16,0
2,129,2049,16,0
2,130,2065,16,0
2,131,2081,16,0
2,132,2097,16,0
2,133,2113,16,0
2,134,2129,16,0
2,135,2145,16,0
2,136,2161,16,0
2,137,2177,16,0
2,138,2193,16,0
2,139,2209,16,0
2,140,2225,16,0
2,141,2241,16,0
2,142,2257,16,0
2,143,2273,16,0
2,144,2289,16,0
2,145,2305,16,0
2,146,2321,16,0
2,147,2337,16,0
2,148,2353,16,0
2,149,2369,16,0
2,150,2385,16,0
2,151,2401,16,0
2,152,2417,16,0
2,153,2433,16,0
2,154,2449,16,0
2,155,2465,16,0
2,156,2481,16,0
2,157,2497,16,0
2,158,2513,16,0
2,159,2529,16,0
2,160,2545,16,0
2,161,2561,16,0
2,162,2577,16,0
2,163,2593,16,0
2,164,2609,16,0
2,165,2625,16,0
2,166,2641,16,0
2,167,2657,16,0
2,168,2673,16,0
2,169,2689,16,0
2,170,2705,16,0
2,171,2721,16,0
2,172,2737,16,0
2,173,2753,16,0
2,174,2769,16,0
2,175,2785,16,0
2,176,2801,16,0
2,177,2817,16,0
2,178,2833,16,0
2,179,2849,16,0
2,180,2865,16,0
2,181,2881,16,0
2,182,2897,16,0
2,183,2913,16,0
2,184,2929,16,0
2,185,2945,16,0
2,186,2961,16,0
2,187,2977,16,0
2,188,2993,16,0
2,189,3009,16,0
2,190,3025,16,0
2,191,3041,16,0
2,192,3057,16,0
2,193,3073,16,0
2,194,3089,16,0
2,195,3105,16,0
2,196,3121,16,0
2,197,3137,16,0
2,198,3153,16,0
2,199,3169,16,0
2,200,3185,16,0
2,201,3201,16,0
2,202,3217,16,0
2,203,3233,16,0
2,204,3249,16,0
2,205,3265,16,0
2,206,3281,16,0
2,207,3297,16,0
2,208,3313,16,0
2,209,3329,16,0
2,210,3345,16,0
2,211,3361,16,0
2,212,3377,16,0
2,213,3393,16,0
2,214,3409,16,0
2,215,3425,16,0
2,216,3441,16,0
2,217,3457,16,0
2,218,3473,16,0
2,219,3489,16,0
2,220,3505,16,0
2,221,3521,16,0
2,222,3537,16,0
2,223,3553,16,0
2,224,3569,16,0
2,225,3585,16,0
2,226,3601,16,0
2,227,3617,16,0
2,228,3633,16,0
2,229,3649,16,0
2,230,3665,16,0
2,231,3681,16,0
2,232,3697,16,0
2,233,3713,16,0
2,234,3729,16,0
2,235,3745,16,0
2,236,3762,17,0
2,237,3777,15,0
2,238,3793,16,0
2,239,3809,16,0
2,240,3825,16,0
2,241,3841,16,0
2,242,3857,16,0
2,243,3873,16,0
2,244,3889,16,0
2,245,3905,16,0
2,246,3921,16,0
2,247,3937,16,0
2,248,3953,16,0
2,249,3969,16,0
2,250,3985,16,0
2,251,4001,16,0
2,252,4017,16,0
2,253,4033,16,0
2,254,4049,16,0
2,255,4065,16,0
2,256,4081,16,0
2,257,4097,16,0
2,258,4113,16,0
2,259,4129,16,0
2,260,4145,16,0
2,261,4161,16,0
2,262,4177,16,0
2,263,4193,16,0
2,264,4209,16,0
2,265,4225,16,0
2,266,4241,16,0
2,267,4257,16,0
2,268,4273,16,0
2,269,4289,16,0
2,270,4305,16,0
2,271,4321,16,0
2,272,4337,16,0
2,273,4353,16,0
2,274,4369,16,0
2,275,4385,16,0
2,276,4401,16,0
2,277,4417,16,0
2,278,4433,16,0
2,279,4449,16,0
2,280,4465,16,0
2,281,4481,16,0
2,282,4497,16,0
2,283,4513,16,0
2,284,4529,16,0
2,285,4545,16,0
2,286,4561,16,0
2,287,4577,16,0
2,288,4593,16,0
2,289,4609,16,0
2,290,4625,16,0
2,291,4641,16,0
2,292,4657,16,0
2,293,4673,16,0
2,294,4689,16,0
2,295,4705,16,0
2,296,4721,16,0
2,297,4737,16,0
2,298,4753,16,0
2,299,4769,16,0
2,300,4785,16,0
2,301,4801,16,0
2,302,4817,16,0
2,303,4833,16,0
2,304,4849,16,0
2,305,4865,16,0
2,306,4881,16,0
2,307,4897,16,0
2,308,4913,16,0
2,309,4929,16,0
2,310,4945,16,0
2,311,4961,16,0
2,312,4977,16,0
2,313,4993,16,0
2,314,5009,16,0
2,315,5025,16,0
2,316,5041,16,0
2,317,5057,16,0
2,318,5073,16,0
2,319,5090,17,0
2,320,5105,15,0
2,321,5121,16,0
2,322,5137,16,0
2,323,5153,16,0
2,324,5169,16,0
2,325,5185,16,0
2,326,5201,16,0
2,327,5217,16,0
2,328,5233,16,0
2,329,5249,16,0
2,330,5265,16,0
2,331,5281,16,0
2,332,5297,16,0
2,333,5313,16,0
2,334,5329,16,0
2,335,5345,16,0
2,336,5361,16,0
2,337,5377,16,0
2,338,5393,16,0
2,339,5409,16,0
2,340,5425,16,0
2,341,5441,16,0
2,342,5457,16,0
2,343,5473,16,0
2,344,5489,16,0
2,345,5505,16,0
2,346,5521,16,0
2,347,5537,16,0
2,348,5553,16,0
2,349,5569,16,0
2,350,5585,16,0
2,351,5601,16,0
2,352,5617,16,0
2,353,5633,16,0
2,354,5649,16,0
2,355,5665,16,0
2,356,5681,16,0
2,357,5697,16,0
2,358,5713,16,0
2,359,5729,16,0
2,360,5745,16,0
2,361,5761,16,0
2,362,5777,16,0
2,363,5793,16,0
2,364,5809,16,0
2,365,5825,16,0
2,366,5841,16,0
2,367,5857,16,0
2,368,5873,16,0
2,369,5889,16,0
2,370,5905,16,0
2,371,5921,16,0
2,372,5937,16,0
2,373,5953,16,0
2,374,5969,16,0
2,375,5985,16,0
2,376,6001,16,0
2,377,6017,16,0
2,378,6033,16,0
2,379,6049,16,0
2,380,6065,16,0
2,381,6081,16,0
2,382,6097,16,0
2,383,6113,16,0
2,384,6129,16,0
2,385,6145,16,0
2,386,6161,16,0
2,387,6177,16,0
2,388,6193,16,0
2,389,6209,16,0
2,390,6225,16,0
2,391,6241,16,0
2,392,6257,16,0
2,393,6273,16,0
2,394,6289,16,0
2,395,6305,16,0
2,396,6321,16,0
2,397,6337,16,0
2,398,6353,16,0
2,399,6369,16,0
2,400,6385,16,0
2,401,6401,16,0
2,402,6417,16,0
2,403,6433,16,0
2,404,6449,16,0
2,405,6465,16,0
2,406,6481,16,0
2,407,6497,16,0
2,408,6513,16,0
2,409,6529,16,0
2,410,6545,16,0
2,411,6561,16,0
2,412,6577,16,0
2,413,6593,16,0
2,414,6609,16,0
2,415,6625,16,0
2,416,6641,16,0
2,417,6657,16,0
2,418,6673,16,0
2,419,6689,16,0
2,420,6705,16,0
2,421,6721,16,0
2,422,6737,16,0
2,423,6753,16,0
2,424,6769,16,0
2,425,6785,16,0
2,426,6801,16,0
2,427,6817,16,0
2,428,6833,16,0
2,429,6849,16,0
2,430,6865,16,0
2,431,6881,16,0
2,432,6897,16,0
2,433,6913,16,0
2,434,6929,16,0
2,435,6945,16,0
2,436,6961,16,0
2,437,6977,16,0
2,438,6993,16,0
2,439,7009,16,0
2,440,7025,16,0
2,441,7041,16,0
2,442,7057,16,0
2,443,7073,16,0
2,444,7089,16,0
2,445,7105,16,0
2,446,7121,16,0
2,447,7137,16,0
2,448,7153,16,0
2,449,7169,16,0
2,450,7185,16,0
2,451,7201,16,0
2,452,7217,16,0
2,453,7233,16,0
2,454,7249,16,0
2,455,7265,16,0
2,456,7281,16,0
2,457,7297,16,0
2,458,7313,16,0
2,459,7329,16,0
2,460,7345,16,0
2,461,7361,16,0
2,462,7377,16,0
2,463,7393,16,0
2,464,7409,16,0
2,465,7425,16,0
2,466,7441,16,0
2,467,7457,16,0
2,468,7473,16,0
2,469,7489,16,0
2,470,7505,16,0
2,471,7521,16,0
2,472,7537,16,0
2,473,7553,16,0
2,474,7569,16,0
2,475,7585,16,0
2,476,7601,16,0
2,477,7617,16,0
2,478,7633,16,0
2,479,7649,16,0
2,480,7665,16,0
2,481,7681,16,0
2,482,7697,16,0
2,483,7713,16,0
2,484,7729,16,0
2,485,7745,16,0
2,486,7761,16,0
2,487,7777,16,0
2,488,7793,16,0
2,489,7809,16,0
2,490,7825,16,0
2,491,7841,16,0
2,492,7857,16,0
2,493,7873,16,0
2,494,7889,16,0
2,495,7905,16,0
2,496,7921,16,0
2,497,7937,16,0
2,498,7953,16,0
2,499,7969,16,0
2,500,7985,16,0
2,501,8001,16,0
2,502,8017,16,0
2,503,8033,16,0
2,504,8049,16,0
2,505,8065,16,0
2,506,8081,16,0
2,507,8097,16,0
2,508,8113,16,0
2,509,8129,16,0
