boot,bar,flips,dflips,cum_fail
0,16,241,0,0
0,17,257,16,0
0,18,273,16,0
0,19,289,16,0
0,20,305,16,0
0,21,321,16,0
0,22,337,16,0
0,23,353,16,0
0,24,369,16,0
0,25,385,16,0
0,26,401,16,0
0,27,417,16,0
0,28,433,16,0
0,29,449,16,0
0,30,465,16,0
0,31,481,16,0
0,32,497,16,0
0,33,513,16,0
0,34,529,16,0
0,35,545,16,0
0,36,561,16,0
0,37,577,16,0
0,38,593,16,0
0,39,609,16,0
0,40,625,16,0
0,41,641,16,0
0,42,657,16,0
0,43,673,16,0
0,44,689,16,0
0,45,705,16,0
0,46,721,16,0
0,47,737,16,0
0,48,753,16,0
0,49,769,16,0
0,50,785,16,0
0,51,801,16,0
0,52,817,16,0
0,53,833,16,0
0,54,849,16,0
0,55,865,16,0
0,56,881,16,0
0,57,897,16,0
0,58,913,16,0
0,59,929,16,0
0,60,945,16,0
0,61,961,16,0
0,62,977,16,0
0,63,993,16,0
0,64,1009,16,0
0,65,1025,16,0
0,66,1041,16,0
0,67,1057,16,0
0,68,1073,16,0
0,69,1089,16,0
0,70,1105,16,0
0,71,1121,16,0
0,72,1137,16,0
0,73,1153,16,0
0,74,1169,16,0
0,75,1185,16,0
0,76,1201,16,0
0,77,1217,16,0
0,78,1233,16,0
0,79,1249,16,0
0,80,1265,16,0
0,81,1281,16,0
0,82,1297,16,0
0,83,1313,16,0
0,84,1329,16,0
0,85,1345,16,0
0,86,1361,16,0
0,87,1377,16,0
0,88,1393,16,0
0,89,1409,16,0
0,90,1425,16,0
0,91,1441,16,0
0,92,1457,16,0
0,93,1473,16,0
0,94,1489,16,0
0,95,1505,16,0
0,96,1521,16,0
0,97,1537,16,0
0,98,1553,16,0
0,99,1569,16,0
0,100,1585,16,0
0,101,1601,16,0
0,102,1617,16,0
0,103,1633,16,0
0,104,1649,16,0
0,105,1665,16,0
1,1,1,-1664,0
1,2,17,16,0
1,3,33,16,0
1,4,49,16,0
1,5,65,16,0
1,6,81,16,0
1,7,97,16,0
1,8,113,16,0
1,9,129,16,0
1,10,145,16,0
1,11,161,16,0
1,12,177,16,0
1,13,193,16,0
1,14,209,16,0
1,15,225,16,0
1,16,241,16,0
1,17,257,16,0
1,18,273,16,0
1,19,289,16,0
1,20,305,16,0
1,21,321,16,0
1,22,337,16,0
1,23,353,16,0
1,24,369,16,0
1,25,385,16,0
1,26,401,16,0
1,27,417,16,0
1,28,433,16,0
1,29,449,16,0
1,30,465,16,0
1,31,481,16,0
1,32,497,16,0
1,33,513,16,0
1,34,529,16,0
1,35,545,16,0
1,36,561,16,0
1,37,577,16,0
1,38,593,16,0
1,39,609,16,0
1,40,625,16,0
1,41,641,16,0
1,42,657,16,0
1,43,673,16,0
1,44,689,16,0
1,45,705,16,0
1,46,721,16,0
1,47,737,16,0
1,48,753,16,0
1,49,769,16,0
1,50,785,16,0
1,51,801,16,0
1,52,817,16,0
1,53,833,16,0
1,54,849,16,0
1,55,865,16,0
1,56,881,16,0
1,57,897,16,0
1,58,913,16,0
1,59,929,16,0
1,60,945,16,0
1,61,961,16,0
1,62,977,16,0
1,63,993,16,0
1,64,1009,16,0
1,65,1025,16,0
1,66,1041,16,0
1,67,1057,16,0
1,68,1073,16,0
1,69,1089,16,0
1,70,1105,16,0
1,71,1121,16,0
1,72,1137,16,0
1,73,1153,16,0
